"primarytitle","startyear","avgrating","numvotes","weighted_rank"
"The Night Of",2016,8.5,131920,8.2
"After Life",2019,8.4,93335,8.1
"Californication",2007,8.3,174787,8.1
"Demon Slayer: Kimetsu no Yaiba",2019,8.7,49376,8.1
"Schitts Creek",2015,8.5,93724,8.1
"Sense8",2015,8.3,144983,8.1
"Taboo",2017,8.4,120285,8.1
"Louie",2010,8.5,76191,8.1
"Blackadder Goes Forth",1989,8.8,50181,8.1
"Code Geass",2006,8.7,57111,8.1
"Line of Duty",2012,8.7,47893,8.1
"Banshee",2013,8.4,92299,8.1
"Chappelles Show",2003,8.7,58360,8.1
"Over the Garden Wall",2014,8.8,45336,8.1
"Luther",2010,8.4,126844,8.1
"The Americans",2013,8.4,89933,8.1
"24",2001,8.3,177364,8.1
"The Last Kingdom",2015,8.4,96349,8.1
"The Blue Planet",2001,9.0,36781,8.1
"Peep Show",2003,8.6,55762,8.1
"Panchayat",2020,8.8,44540,8.1
"Succession",2018,8.6,58862,8.1
"Friday Night Lights",2006,8.6,58728,8.1
"Sex Education",2019,8.3,181688,8.1
"Battlestar Galactica",2003,8.6,71645,8.1
"The Witcher",2019,8.2,344439,8.1
"Atlanta",2016,8.6,57400,8.1
"Broadchurch",2013,8.4,101761,8.1
"Stargate SG-1",1997,8.4,86858,8.1
"Bron/Broen",2011,8.6,62006,8.1
"The Legend of Korra",2012,8.4,110947,8.1
"Paranormal",2020,8.5,70047,8.1
"The Big Bang Theory",2007,8.1,748044,8.1
"Buffy the Vampire Slayer",1997,8.2,136297,8.0
"Psych",2006,8.3,88986,8.0
"Flight of the Conchords",2007,8.5,57215,8.0
"Neon Genesis Evangelion",1995,8.5,57242,8.0
"Euphoria",2019,8.4,77329,8.0
"The Leftovers",2014,8.3,86614,8.0
"American Crime Story",2016,8.4,84056,8.0
"Ash vs Evil Dead",2015,8.4,67747,8.0
"Yellowstone",2018,8.6,43269,8.0
"Billions",2016,8.4,75040,8.0
"Dragon Ball",1986,8.5,51832,8.0
"Blackadder II",1986,8.6,44529,8.0
"Unbelievable",2019,8.4,83306,8.0
"Family Guy",1999,8.1,314695,8.0
"Dragon Ball",1995,8.5,56232,8.0
"Flames",2018,9.1,26327,8.0
"Spaced",1999,8.5,52249,8.0
"Orphan Black",2013,8.3,105203,8.0
"The Originals",2013,8.2,123795,8.0
"Naruto",2002,8.3,81869,8.0
"Fullmetal Alchemist",2003,8.5,65590,8.0
"Frozen Planet",2011,9.0,28380,8.0
"30 Rock",2006,8.2,115383,8.0
"Twin Peaks",2017,8.5,61358,8.0
"White Collar",2009,8.2,123073,8.0
"Black Books",2000,8.5,55987,8.0
"Penny Dreadful",2014,8.2,115689,8.0
"Narcos: Mexico",2018,8.4,65730,8.0
"The Morning Show",2019,8.4,64489,8.0
"Lucifer",2016,8.1,270582,8.0
"The Inbetweeners",2008,8.4,83014,8.0
"The Good Place",2016,8.2,129976,8.0
"Anne with an E",2017,8.7,44414,8.0
"The Pacific",2010,8.3,104114,8.0
"Chuck",2007,8.2,130998,8.0
"Mirzapur",2018,8.4,62388,8.0
"Ray Donovan",2013,8.3,80184,8.0
