"primarytitle","startyear","avgrating","numvotes","weighted_rank"
"Chinatown",1974,8.2,308521,8.1
"Double Indemnity",1944,8.3,149498,8.1
"Million Dollar Baby",2004,8.1,655936,8.1
"Bicycle Thieves",1948,8.3,155069,8.1
"Finding Nemo",2003,8.1,981434,8.1
"Logan",2017,8.1,684387,8.1
"Raging Bull",1980,8.2,334704,8.1
"The Grand Budapest Hotel",2014,8.1,742397,8.1
"Gran Torino",2008,8.1,739856,8.1
"Monty Python and the Holy Grail",1975,8.2,516385,8.1
"A Separation",2011,8.3,231164,8.1
"Incendies",2010,8.3,160825,8.1
"The Sixth Sense",1999,8.1,939974,8.1
"L.A. Confidential",1997,8.2,550365,8.1
"Mad Max: Fury Road",2015,8.1,923347,8.1
"Green Book",2018,8.2,423201,8.1
"Witness for the Prosecution",1957,8.4,115697,8.1
"V for Vendetta",2005,8.1,1063671,8.1
"M",1931,8.3,150001,8.1
"There Will Be Blood",2007,8.2,542614,8.1
"The Truman Show",1998,8.1,984933,8.1
"The Great Escape",1963,8.2,233135,8.1
"Metropolis",1927,8.3,166213,8.1
"Howls Moving Castle",2004,8.2,355569,8.1
"Blade Runner",1982,8.1,719164,8.1
"Unforgiven",1992,8.2,390456,8.1
"Singin in the Rain",1952,8.3,227888,8.1
"Trainspotting",1996,8.1,654437,8.1
"The Big Lebowski",1998,8.1,763480,8.1
"12 Years a Slave",2013,8.1,663029,8.1
"Downfall",2004,8.2,341061,8.1
"Monsters, Inc.",2001,8.1,848279,8.1
"Gone Girl",2014,8.1,903441,8.1
"Casino",1995,8.2,486190,8.1
"Hotel Rwanda",2004,8.1,342841,8.0
"The Princess Bride",1987,8.1,406907,8.0
"Deadpool",2016,8.0,944745,8.0
"Spotlight",2015,8.1,440674,8.0
"Kill Bill: Vol. 2",2004,8.0,711458,8.0
"Amores Perros",2000,8.1,231536,8.0
"Before Sunrise",1995,8.1,285718,8.0
"Room",2015,8.1,391418,8.0
"The Father",2020,8.3,90577,8.0
"The Martian",2015,8.0,792312,8.0
"The Revenant",2015,8.0,738637,8.0
"Dead Poets Society",1989,8.1,447130,8.0
"The Bridge on the River Kwai",1957,8.1,210647,8.0
"The Kid",1921,8.3,119601,8.0
"Warrior",2011,8.1,448696,8.0
"The Avengers",2012,8.0,1304408,8.0
"The Elephant Man",1980,8.1,229827,8.0
"Sin City",2005,8.0,748926,8.0
"Hara-Kiri",1962,8.6,48497,8.0
"Rocky",1976,8.1,538039,8.0
"The Terminator",1984,8.0,819493,8.0
"Guardians of the Galaxy",2014,8.0,1089673,8.0
"Into the Wild",2007,8.1,592623,8.0
"Platoon",1986,8.1,394306,8.0
"Capernaum",2018,8.4,74050,8.0
"Inside Out",2015,8.1,650969,8.0
"The Bourne Ultimatum",2007,8.0,615678,8.0
"Hachi: A Dogs Tale",2009,8.1,265607,8.0
"Three Billboards Outside Ebbing, Missouri",2017,8.1,463628,8.0
"Pirates of the Caribbean: The Curse of the Black Pearl",2003,8.0,1042887,8.0
"David Attenborough: A Life on Our Planet",2020,9.0,28982,8.0
"Stand by Me",1986,8.1,379043,8.0
"Fargo",1996,8.1,641581,8.0
"Hamilton",2020,8.4,72423,8.0
"Soul",2020,8.1,274801,8.0
"Zack Snyders Justice League",2021,8.1,332045,8.0
"The Deer Hunter",1978,8.1,323679,8.0
"Gone with the Wind",1939,8.1,300703,8.0
"The Incredibles",2004,8.0,679555,8.0
"Black Swan",2010,8.0,721989,8.0
"Prisoners",2013,8.1,633996,8.0
"The Kings Speech",2010,8.0,655362,8.0
"Ben-Hur",1959,8.1,227974,8.0
"Senna",2010,8.5,66789,8.0
"The Thing",1982,8.1,389280,8.0
"Donnie Darko",2001,8.0,762174,8.0
"All About Eve",1950,8.2,125488,8.0
"The Imitation Game",2014,8.0,714841,8.0
"Ratatouille",2007,8.0,667673,8.0
"Hacksaw Ridge",2016,8.1,464889,8.0
"Before Sunset",2004,8.1,247127,8.0
"The Seventh Seal",1957,8.2,174661,8.0
"Monty Pythons Life of Brian",1979,8.1,380511,8.0
"Ford v Ferrari",2019,8.1,332166,8.0
"Rashomon",1950,8.2,159405,8.0
"Slumdog Millionaire",2008,8.0,816684,8.0
"Dial M for Murder",1954,8.2,166019,8.0
"The Secret in Their Eyes",2009,8.2,200504,8.0
"Rush",2013,8.1,451012,8.0
"The Exorcist",1973,8.0,375299,7.9
"Children of Heaven",1997,8.3,69857,7.9
"Dog Day Afternoon",1975,8.0,245257,7.9
"Mr. Smith Goes to Washington",1939,8.1,111038,7.9
"Wild Tales",2014,8.1,186146,7.9
"The Help",2011,8.0,438764,7.9
"Shrek",2001,7.9,637055,7.9
"Scent of a Woman",1992,8.0,277487,7.9
"The Third Man",1949,8.1,164706,7.9
"La La Land",2016,8.0,534818,7.9
"Rain Man",1988,8.0,489043,7.9
"Ran",1985,8.2,118865,7.9
"Jaws",1975,8.0,563384,7.9
"Lion",2016,8.0,223903,7.9
"Barry Lyndon",1975,8.1,157613,7.9
"Butch Cassidy and the Sundance Kid",1969,8.0,208473,7.9
"12 Monkeys",1995,8.0,594800,7.9
"Wild Strawberries",1957,8.2,101672,7.9
"Rosemarys Baby",1968,8.0,203007,7.9
"Mary and Max",2009,8.1,170016,7.9
"On the Waterfront",1954,8.1,147963,7.9
"A Fistful of Dollars",1964,8.0,205977,7.9
"Dil Bechara",2020,8.1,123689,7.9
"The Sound of Music",1965,8.0,215454,7.9
"Memories of Murder",2003,8.1,156910,7.9
"Andhadhun",2018,8.2,81863,7.9
"Star Trek",2009,7.9,588824,7.9
"Rebecca",1940,8.1,130625,7.9
